incident_id,attack_type,effect_date,effect_date_precision,attribution_date,attribution_date_precision,lag_days,attributing_party,attribution_strength,censored,source_url,source_page_or_section,notes
norway_finland_2018,jam,2018-11-07,week,2019-03-18,day,131,Norway (state),evidence_backed,no,https://swfound.org/counterspace,SWF Global Counterspace Capabilities 2024 p. 02-25,"GNSS jamming in Norway and Finland during a NATO exercise. Finland's leadership blamed Russia publicly within about four days; Norway's evidence-backed attribution took 131. Both numbers matter: accusation is cheap and fast, proof is slow."
ben_gurion_2019,jam,2019-06-01,month,2019-06-25,day,24,Israel (officials) and IFALPA,official,no,https://swfound.org/counterspace,SWF Global Counterspace Capabilities 2024 p. 02-25,GPS disruption at Ben Gurion airport attributed by Israeli security officials to Russian EW at Khmeimim air base 390 km away.
black_sea_2017,jam,2017-06-22,day,2019-03-26,day,642,C4ADS (NGO),analytic_never_state_attributed,no,https://swfound.org/counterspace,"SWF Global Counterspace Capabilities 2024 p. 02-25, citing C4ADS 'Above Us, Only Stars'","Novorossiysk AIS/GPS spoofing. No state ever formally attributed it; 642 days is when open-source analysis published a documented attribution covering nearly 10,000 suspected incidents."
raf_cyprus_2021,jam,2021-03-19,day,,,,none,never_attributed,yes,https://swfound.org/counterspace,SWF Global Counterspace Capabilities 2024 p. 02-25,UK RAF reported GPS jamming of flight operations out of Cyprus with suspicion falling on Russian operations in Syria. Still unattributed at the 2024-12-31 window close: right-censored at 1383 days.
baltic_2024,jam,2023-12-01,month,2024-05-08,day,159,Estonia (state),evidence_backed,no,https://swfound.org/counterspace,SWF Global Counterspace Capabilities 2024 p. 02-26 (Baltic Sea GNSS jamming affecting civil aviation),"Estonia summoned Russia's charge d'affaires on 2024-05-08 over GPS jamming, calling it an ITU radio-regulations violation, after Finnair suspended Tartu approaches."
dprk_rok_2024,jam,2024-03-01,month,2024-03-08,month,7,South Korea (state),official,no,https://aerospace.csis.org/space-threat-assessment-2024/,CSIS Space Threat Assessment 2024 p. 27,"North Korean GPS jamming during South Korean exercises, the first reported use in eight years. Attribution was effectively immediate: a known emitter across a known border. Exact day not given in the source; taken as one week at month precision."
landsat7_2007,ground_cyber,2007-10-01,month,2011-11-16,day,1507,US-China Economic and Security Review Commission,commission_report,no,https://swfound.org/counterspace,SWF Global Counterspace Capabilities 2024 p. 14-04,"Twelve minutes of interference with the Landsat 7 remote sensing satellite; attributed only in the USCC 2011 annual report, four years later."
terra_jun2008,ground_cyber,2008-06-01,month,2011-11-16,day,1263,US-China Economic and Security Review Commission,commission_report,no,https://swfound.org/counterspace,SWF Global Counterspace Capabilities 2024 p. 14-04,Two minutes of interference with Terra; the attackers achieved the steps required to command the satellite.
terra_oct2008,ground_cyber,2008-10-01,month,2011-11-16,day,1141,US-China Economic and Security Review Commission,commission_report,no,https://swfound.org/counterspace,SWF Global Counterspace Capabilities 2024 p. 14-04,"Second Terra interference event in the same year, attributed in the same 2011 report."
noaa_2014,ground_cyber,2014-09-01,month,2014-11-12,day,72,US legislator (not a formal USG attribution),legislator_statement,no,https://swfound.org/counterspace,SWF Global Counterspace Capabilities 2024 p. 14-05,NOAA satellite information and weather systems compromised; systems down two days for cleaning. The US government never publicly attributed it. The fastest cyber case in the record is still 72 days and still not a formal state attribution.
