actor,category,window_start,window_end,event_count,years_observed,events_per_year,destructive_event_count,capability_status,evidence_confidence,counting_rule,source_report,source_url,source_page_or_section,notes
russia,ew,2018-01-01,2024-12-31,16,7,2.286,0,operational_in_conflict,high,"distinct dated episodes named in the cited sections; a multi-month campaign counts once",SWF Global Counterspace Capabilities 2024 (sec 2.3) and CSIS Space Threat Assessment 2023/2024,https://swfound.org/counterspace,"SWF 2024 pp. 02-23 to 02-27 (2.3 Russian Electronic Warfare); CSIS 2023 p. 16 timeline; CSIS 2024 p. 15","Episodes: Nov 2018 Norway/Finland during a NATO exercise; Mar 2019 C4ADS reports ~10,000 suspected incidents 2016-2019; Jun 2019 Ben Gurion; Mar 2021 RAF Cyprus; Mar 2021 OSCE UAV on the Ukraine border; Jun 2021 US Navy AIS spoof; Feb 2022 Ukraine interference spike; Mar 2022 Finnair near Kaliningrad; Mar 2022 Starlink jamming attempts; Jul 2022 EW brigades committed; Jul 2021 and Nov 2023 Sentinel-1 SAR interference; 2023 Excalibur/HIMARS/JDAM jamming; 2023-24 Baltic Sea GNSS jamming affecting civil aviation; 2023-24 Tobol used against Starlink; 2023-24 jamming of commercial comsats over eastern Ukraine. This is a floor: the C4ADS row alone stands for ~10,000 individual incidents."
russia,cyber,2018-01-01,2024-12-31,1,7,0.143,0,operational,medium,"distinct dated intrusions against a space system attributed in the cited source; excludes quarantined incidents",CSIS Space Threat Assessment 2023,https://aerospace.csis.org/space-threat-assessment-2023/,"CSIS 2023 p. 42 note 91, citing CISA researchers on APT28 infiltration of a US satellite network (Dec 2022)","One further Russian ground-segment cyber episode in this window is reserved for validation and is excluded here by construction; see docs/quarantine.md and calibration.md. The true rate is therefore higher than 0.143/yr. Attribution is the binding constraint, not capability."
russia,rpo,2018-01-01,2024-12-31,7,7,1.000,0,operational,high,"one row of SWF Table 2-3 whose date range overlaps the window counts as one episode",SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 02-14 to 02-15, Table 2-3 Recent Russian RPO","Episodes: Mar-Apr 2018 Kosmos 2521/2519 close approaches; Aug-Dec 2019 Kosmos 2535/2536 (at least 25 individual RPO operations, 2 km to 380 km); Dec 2019-Mar 2020 Kosmos 2542/2543 with USA 245 to within 30 km; Jun-Oct 2020 Kosmos 2543 releases an object at high relative velocity near Kosmos 2535; Nov 2022 Kosmos 2562 with Resurs-P3; Oct 2014-Feb 2023 Luch (Olymp) parked near more than two dozen comsats; Mar 2023-present Luch (Olymp) 2 with multiple US and European comsats. One further 2022 Russian RPO episode is quarantined and excluded."
russia,directed_energy,2018-01-01,2024-12-31,0,7,0.000,0,fielded_no_public_use,medium,"documented uses against a satellite; deployment and construction do not count as use",SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 02-29 to 02-32 (2.4 Russian Directed Energy Weapons); Peresvet at 02-30, Kalina at 02-31","Peresvet is a fielded mobile ground-based dazzler tied to protecting road-mobile ICBMs; Kalina is under construction at the Krona complex. No public record of either being used against a satellite. A fielded capability with a zero use rate is exactly the case the engine needs to represent."
russia,kinetic,2018-01-01,2024-12-31,7,7,1.000,1,operational_demonstrated,high,"one Nudol flight test = one event, including the one unconfirmed test, which is flagged in notes",SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 p. 02-19, Table 2-4 Nudol Flight Tests To Date","Tests: 26 Mar 2018 (first from a mobile launcher), 23 Dec 2018, 15 Nov 2019, 15 Apr 2020, 16 Dec 2020, Apr 2021 (unconfirmed), 15 Nov 2021 (intercepted and destroyed Kosmos 1408 at ~470 km). Only the last was destructive: 1 destructive test in 7 years = 0.143/yr, and 1 of 7 flight tests. Two previously listed 2021 tests were removed in the 2024 edition after NOTAMs proved to be for postponed launches."
china,ew,2018-01-01,2024-12-31,3,7,0.429,0,assessed_proficient,medium,"distinct dated episodes of GNSS jamming or spoofing attributed to Chinese platforms in the cited source",CSIS Space Threat Assessment 2024 and SWF Global Counterspace Capabilities 2024,https://aerospace.csis.org/space-threat-assessment-2024/,"CSIS 2024 p. 10 (Chinese warship GPS jamming, Mar 2023 Qantas/IFALPA warning) and p. 35 (2023 regional jamming and spoofing summary); SWF 2024 pp. 03-17 to 03-18 (3.3 Chinese Electronic Warfare)","Episodes: 2019 research showing hundreds of ships affected by GPS spoofing; Mar 2023 Qantas and IFALPA warn pilots about Chinese warships jamming over the South China Sea, Philippine Sea, eastern Indian Ocean and northwest of Australia; 2023 GNSS jamming reported in the South China Sea and near South Korea. SWF assesses China proficient in GNSS jamming with fixed and mobile downlink systems and no publicly known uplink system."
china,cyber,2018-01-01,2024-12-31,0,7,0.000,0,assessed_capable_no_recorded_use,medium,"cyberattacks on space systems recorded in the cited source",CSIS Space Threat Assessment 2023,https://aerospace.csis.org/space-threat-assessment-2023/,"CSIS 2023 p. 10 (China counterspace assessment): ""Few Chinese cyberattacks on space systems have been recorded in the last five years, but China's cyber capabilities"" remain substantial","A directly cited zero rather than an absence of searching. The gap between assessed capability and recorded use is the modelling point: capability_status gates what Red can do, events_per_year gates how often it does."
china,rpo,2018-01-01,2024-12-31,9,7,1.286,0,operational,high,"one row of SWF Table 3-1 whose date range overlaps the window counts as one episode",SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 03-09 to 03-10, Table 3-1 Recent Chinese RPO","Episodes: Feb 2018 SJ-17 with its upper stage near GEO; Jan-Apr 2019 TJS-3 and TJS-3 AKM separation and maneuvers; May 2019-Feb 2023 TJS-3 drifting the GEO belt with periodic RPO against Luch, USA 233 and USA 263; Jan-Oct 2020 SJ-17 with Chinasat 6B and SJ-20; Dec 2021 SY-1201/1202; Dec 2021-Jan 2022 SJ-21 docks with Compass G2 and tows it to a higher orbit; Nov 2022 SJ-17 brief RPO with VENESAT-1; Nov 2022-Feb 2023 PRC Test Spacecraft 2 releases Object J and makes repeated RPOs; Jan 2023 SJ-23 releases an object in GEO."
china,directed_energy,2018-01-01,2024-12-31,0,7,0.000,0,developing_no_public_use,low,"documented uses against a satellite; facility observations do not count as use",SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 03-19 to 03-20 (3.4 Chinese Directed Energy Weapons); the 2024 edition adds reports of the laser facility at Bohu opening its roof during overflights of US commercial remote sensing satellites","The roof observation is suggestive, not a documented dazzle. Treated as zero uses with a non-zero capability, same shape as Russia's Peresvet row."
china,kinetic,2018-01-01,2024-12-31,4,7,0.571,0,operational_demonstrated,high,"one DN-series flight test = one event",SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 03-15 to 03-16, Table 3-2 History of Chinese DA-ASAT Tests","Tests: 5 Feb 2018, 4 Feb 2021, 19 Jun 2022, 14 Apr 2023 — all possible DN-3 from Korla, all suborbital, all assessed as likely intercept tests. No destructive Chinese ASAT test since 2007: 0 destructive events in the window against 4 flight tests."
iran,ew,2018-01-01,2024-12-31,1,7,0.143,0,operational,medium,"a continuing jamming campaign counts as one episode for the whole window",SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 p. 08-04 (8. Iran): Iran ""accused of repeatedly interfering with commercial communications satellites' ability to broadcast Persian-language programming into Iran over the last several years""","Uplink jamming of commercial GEO comsats, in some cases coordinated with other states, which makes the geolocation of the jammer and the attribution of the actor two separate problems. Counted as one continuing campaign; the underlying incident count is far higher."
iran,cyber,2018-01-01,2024-12-31,0,7,0.000,0,assessed_capable_no_recorded_use,low,"cyberattacks on space systems recorded in the cited source",CSIS Space Threat Assessment 2024,https://aerospace.csis.org/space-threat-assessment-2024/,"CSIS 2024 p. 25 (Iran counterspace assessment): Iranian counterspace options framed around terrestrial infrastructure, jamming and spoofing","No recorded Iranian cyberattack on a space system in the window in the cited assessments."
iran,rpo,2018-01-01,2024-12-31,0,7,0.000,0,none,high,"documented rendezvous and proximity operations",SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 08-01 to 08-06 (8. Iran)",No Iranian on-orbit RPO capability in the open record.
iran,directed_energy,2018-01-01,2024-12-31,0,7,0.000,0,none,high,documented uses against a satellite,SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 08-01 to 08-06 (8. Iran)",No Iranian counterspace directed-energy capability in the open record.
iran,kinetic,2018-01-01,2024-12-31,0,7,0.000,0,none,high,documented ASAT flight tests,SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 08-01 to 08-06 (8. Iran)",Iranian launch capability is not the same as a demonstrated ASAT; no test in the open record.
north_korea,ew,2018-01-01,2024-12-31,1,7,0.143,0,operational_intermittent,high,"distinct dated jamming episodes attributed in the cited source",CSIS Space Threat Assessment 2024,https://aerospace.csis.org/space-threat-assessment-2024/,"CSIS 2024 p. 27 (North Korea counterspace assessment): ""In March 2024, North Korea attempted to jam GPS signals during South Korean military exercises, the first reported use of GPS jamming by North Korea in eight years""","The cited sentence gives a base rate directly: one reported use in eight years. A latent actor that acts rarely and then in a way tightly coupled to an exercise is a distinct Red profile from Russia's continuous EW."
north_korea,cyber,2018-01-01,2024-12-31,0,7,0.000,0,assessed_capable_no_recorded_use,medium,"cyberattacks on space systems recorded in the cited source",CSIS Space Threat Assessment 2024,https://aerospace.csis.org/space-threat-assessment-2024/,"CSIS 2024 p. 27: North Korean cyber activity targets aerospace technology and revenue generation rather than counterspace effects","Targeting aerospace companies for theft is not a counterspace action and is not counted here."
north_korea,rpo,2018-01-01,2024-12-31,0,7,0.000,0,none,high,documented rendezvous and proximity operations,CSIS Space Threat Assessment 2024,https://aerospace.csis.org/space-threat-assessment-2024/,"CSIS 2024 pp. 26 to 28 (North Korea)",No on-orbit RPO capability in the open record.
north_korea,directed_energy,2018-01-01,2024-12-31,0,7,0.000,0,none,high,documented uses against a satellite,CSIS Space Threat Assessment 2024,https://aerospace.csis.org/space-threat-assessment-2024/,"CSIS 2024 pp. 26 to 28 (North Korea)",No counterspace directed-energy capability in the open record.
north_korea,kinetic,2018-01-01,2024-12-31,0,7,0.000,0,none,high,documented ASAT flight tests,CSIS Space Threat Assessment 2024,https://aerospace.csis.org/space-threat-assessment-2024/,"CSIS 2024 pp. 26 to 28 (North Korea)",No ASAT flight test in the open record.
india,kinetic,2018-01-01,2024-12-31,1,7,0.143,1,operational_demonstrated,high,documented ASAT flight tests,SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 p. 04-03 (4. India), Mission Shakti; Table 4-1 Indian DA-ASAT Tests in Space","27 Mar 2019 Mission Shakti: a PDV Mk-II kill vehicle launched from Kalam Island destroyed India's own Microsat-R at ~300 km, producing 130 tracked debris pieces. Included because it is a destructive kinetic event by a non-Russian, non-Chinese actor inside the window: the population must not learn that only two actors ever act."
india,ew,2018-01-01,2024-12-31,0,7,0.000,0,not_assessed,low,documented counterspace jamming episodes,SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 04-01 to 04-06 (4. India)",No counterspace EW episode attributed to India in the window in the cited sources.
india,cyber,2018-01-01,2024-12-31,0,7,0.000,0,not_assessed,low,cyberattacks on space systems recorded in the cited source,SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 04-01 to 04-06 (4. India)",No episode in the cited sources.
india,rpo,2018-01-01,2024-12-31,0,7,0.000,0,developing,low,documented rendezvous and proximity operations against another actor's satellite,SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 04-01 to 04-06 (4. India)",Indian RPO work is domestic docking experimentation; no counterspace RPO in the window.
india,directed_energy,2018-01-01,2024-12-31,0,7,0.000,0,developing,low,documented uses against a satellite,SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 04-01 to 04-06 (4. India)",No documented use.
non_state,cyber,2018-01-01,2024-12-31,1,7,0.143,0,demonstrated_low_cost,medium,"distinct dated non-state operations against space systems or links named in the cited chapter",SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 14-07 to 14-08 (14. Global Cyber Counterspace Capabilities), Turla satellite-link hijacking and the Iridium L-band eavesdropping demonstration","The Turla case is the single most important row in this table for the wargame: the group hijacked satellite links to anonymise operations, and US and UK officials state it ""attempted to masquerade as Iranian hackers to mislead investigators."" Non-state and state-criminal actors are cheap (roughly USD 75 to USD 1,000 of hardware) and deliberately corrupt attribution. This row is what justifies the hacktivist_injects rule actor in contracts/env_config_schema.json."
non_state,ew,2018-01-01,2024-12-31,0,7,0.000,0,demonstrated_low_cost,low,documented non-state counterspace jamming episodes,SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 14-01 to 14-04 (14. Global Cyber Counterspace Capabilities)","Non-state jamming of satellite TV uplinks has occurred historically but no dated episode falls inside the window in the cited sources. Kept at zero rather than estimated."
non_state,rpo,2018-01-01,2024-12-31,0,7,0.000,0,none,high,documented rendezvous and proximity operations,SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 14-01 to 14-08 (14. Global Cyber Counterspace Capabilities)",No non-state on-orbit capability.
non_state,directed_energy,2018-01-01,2024-12-31,0,7,0.000,0,none,high,documented uses against a satellite,SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 14-01 to 14-08 (14. Global Cyber Counterspace Capabilities)",No non-state capability.
non_state,kinetic,2018-01-01,2024-12-31,0,7,0.000,0,none,high,documented ASAT flight tests,SWF Global Counterspace Capabilities 2024,https://swfound.org/counterspace,"SWF 2024 pp. 14-01 to 14-08 (14. Global Cyber Counterspace Capabilities)",No non-state capability.
