utc_start,interval_hours,kp,ap,definitive,source_url,source_section
2022-01-31T00:00:00Z,3,2.667,12,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-01-31"
2022-01-31T03:00:00Z,3,2.667,12,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-01-31"
2022-01-31T06:00:00Z,3,1.667,6,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-01-31"
2022-01-31T09:00:00Z,3,3.000,15,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-01-31"
2022-01-31T12:00:00Z,3,1.667,6,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-01-31"
2022-01-31T15:00:00Z,3,2.333,9,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-01-31"
2022-01-31T18:00:00Z,3,1.333,5,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-01-31"
2022-01-31T21:00:00Z,3,2.000,7,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-01-31"
2022-02-01T00:00:00Z,3,1.667,6,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-01"
2022-02-01T03:00:00Z,3,1.667,6,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-01"
2022-02-01T06:00:00Z,3,0.667,3,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-01"
2022-02-01T09:00:00Z,3,0.667,3,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-01"
2022-02-01T12:00:00Z,3,1.333,5,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-01"
2022-02-01T15:00:00Z,3,0.667,3,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-01"
2022-02-01T18:00:00Z,3,0.333,2,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-01"
2022-02-01T21:00:00Z,3,3.333,18,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-01"
2022-02-02T00:00:00Z,3,4.000,27,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-02"
2022-02-02T03:00:00Z,3,2.667,12,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-02"
2022-02-02T06:00:00Z,3,0.667,3,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-02"
2022-02-02T09:00:00Z,3,0.333,2,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-02"
2022-02-02T12:00:00Z,3,1.667,6,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-02"
2022-02-02T15:00:00Z,3,3.667,22,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-02"
2022-02-02T18:00:00Z,3,1.667,6,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-02"
2022-02-02T21:00:00Z,3,1.333,5,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-02"
2022-02-03T00:00:00Z,3,2.000,7,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-03"
2022-02-03T03:00:00Z,3,4.333,32,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-03"
2022-02-03T06:00:00Z,3,5.000,48,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-03"
2022-02-03T09:00:00Z,3,5.333,56,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-03"
2022-02-03T12:00:00Z,3,4.000,27,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-03"
2022-02-03T15:00:00Z,3,3.000,15,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-03"
2022-02-03T18:00:00Z,3,3.000,15,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2022-02-03"
