utc_start,interval_hours,kp,ap,definitive,source_url,source_section
2024-05-08T00:00:00Z,3,1.000,4,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-08"
2024-05-08T03:00:00Z,3,1.667,6,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-08"
2024-05-08T06:00:00Z,3,1.667,6,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-08"
2024-05-08T09:00:00Z,3,1.667,6,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-08"
2024-05-08T12:00:00Z,3,1.667,6,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-08"
2024-05-08T15:00:00Z,3,2.000,7,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-08"
2024-05-08T18:00:00Z,3,0.667,3,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-08"
2024-05-08T21:00:00Z,3,1.000,4,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-08"
2024-05-09T00:00:00Z,3,0.667,3,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-09"
2024-05-09T03:00:00Z,3,1.333,5,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-09"
2024-05-09T06:00:00Z,3,0.667,3,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-09"
2024-05-09T09:00:00Z,3,1.333,5,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-09"
2024-05-09T12:00:00Z,3,1.000,4,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-09"
2024-05-09T15:00:00Z,3,1.000,4,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-09"
2024-05-09T18:00:00Z,3,2.333,9,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-09"
2024-05-09T21:00:00Z,3,2.000,7,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-09"
2024-05-10T00:00:00Z,3,2.667,12,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-10"
2024-05-10T03:00:00Z,3,2.667,12,2,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"Kp1..Kp8 / ap1..ap8 columns, UT day 2024-05-10"
