profile,metric,asset_class,value,unit,kind,window_start_utc,window_end_utc,derivation,source_url,source_page_or_section,notes
may2024,peak_kp,,9.000,kp,observed,2024-05-11T00:00:00Z,2024-05-11T03:00:00Z,max of calib/series/kp_may2024.csv,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"UT day 2024-05-11, column Kp1 (definitive, D=2)",First Kp 9.0 since the October 2003 Halloween storms.
may2024,min_dst,,-406,nT,observed,2024-05-11T02:00:00Z,2024-05-11T03:00:00Z,min of calib/series/dst_may2024.csv,https://wdc.kugi.kyoto-u.ac.jp/dst_provisional/202405/index.html,"Hourly Equatorial Dst Values (PROVISIONAL), row DAY 11, hour 03 UT column",Kyoto provisional. USGS reported -351 nT in real time on 10 May; the deeper minimum falls on 11 May.
may2024,noaa_g_scale,,G5,scale,observed,2024-05-10T15:00:00Z,2024-05-13T06:00:00Z,Kp >= 9 maps to G5 on the NOAA scale,https://www.spaceweather.gov/noaa-scales-explanation,"Geomagnetic Storms (G) table, G5 row (Kp 9)","G5 effects text: ""May experience extensive surface charging, problems with orientation, uplink/downlink and tracking satellites."""
may2024,storm_duration_g1_plus,,48,hours,derived_from_series,2024-05-10T15:00:00Z,2024-05-13T06:00:00Z,count of 3-hour Kp bins >= 5.0 in calib/series/kp_may2024.csv x 3 h,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"UT days 2024-05-10 to 2024-05-13, Kp1..Kp8",Span of the G1+ window is 63 h; 48 h of it sits at G1 or above.
may2024,storm_duration_g4_plus,,24,hours,derived_from_series,2024-05-10T18:00:00Z,2024-05-12T06:00:00Z,count of 3-hour Kp bins >= 8.0 x 3 h,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"UT days 2024-05-10 to 2024-05-12, Kp1..Kp8",The window in which NOAA's G4/G5 rows predict tracking problems.
may2024,storm_duration_g5,,6,hours,derived_from_series,2024-05-11T00:00:00Z,2024-05-11T06:00:00Z,count of 3-hour Kp bins >= 9.0 x 3 h,https://kp.gfz.de/app/files/Kp_ap_Ap_SN_F107_since_1932.txt,"UT day 2024-05-11, Kp1 and Kp4",Two 3-hour bins at Kp 9.0.
may2024,ring_current_recovery,,66,hours,derived_from_series,2024-05-11T02:00:00Z,2024-05-13T20:00:00Z,hours from the Dst minimum until Dst first exceeds -50 nT,https://wdc.kugi.kyoto-u.ac.jp/dst_provisional/202405/index.html,"Hourly Equatorial Dst Values (PROVISIONAL), rows DAY 11 to DAY 13",77 h total below -50 nT; 44 h below -100 nT.
may2024,density_enhancement_factor,leo_400km,6.0,ratio,observed,2024-05-10T15:00:00Z,2024-05-12T00:00:00Z,peak modeled density / pre-storm baseline at 400 km,https://arxiv.org/html/2406.08617v2,"Section 3 (density modeling): ""large density enhancements of up to 6x the baseline value""",Parker & Linares 2024; published as J. Spacecraft and Rockets doi:10.2514/1.A36164.
may2024,decay_rate_increase_factor,leo_constellation,4.7,ratio,observed,2024-05-10T15:00:00Z,2024-05-13T00:00:00Z,storm decay rate 180 m/day over baseline 38 m/day,https://arxiv.org/html/2406.08617v2,"Section 4 (operational implications): decay rate ""increased more than 4x to 180 m/day"" from ""approximately 38 m/day""",Single representative LEO satellite tracked through the storm.
may2024,maneuver_surge_satellites,leo_constellation,5000,satellites,observed,2024-05-10T00:00:00Z,2024-05-12T00:00:00Z,count of active LEO payloads maneuvering en masse during the storm vs ~300 in the quiet period before,https://arxiv.org/html/2406.08617v2,"Section 4 (operational implications): ""thousands of satellites begin to maneuver en masse""; ~300 of ~10000 active LEO payloads maneuvered in the quiet period",Mostly one operator's constellation. The autonomous response is itself the shock to the tracking picture.
